gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,associate's degree,free/reduced,completed,67,66,59
female,group C,bachelor's degree,free/reduced,none,55,45,47
female,group C,bachelor's degree,free/reduced,none,34,44,33
female,group B,master's degree,free/reduced,none,41,61,46
female,group A,high school,free/reduced,completed,75,62,69
male,group D,bachelor's degree,standard,none,84,77,95
female,group C,associate's degree,free/reduced,none,59,55,71
female,group E,some college,standard,completed,82,79,76
female,group C,bachelor's degree,free/reduced,none,64,68,63
male,group A,some college,standard,none,75,90,70
male,group A,associate's degree,free/reduced,none,80,90,67
male,group C,bachelor's degree,standard,none,48,54,51
male,group E,master's degree,standard,none,81,77,88
female,group D,high school,free/reduced,completed,60,53,77
female,group B,bachelor's degree,free/reduced,completed,62,58,56
female,group C,associate's degree,free/reduced,completed,61,75,73
male,group D,associate's degree,free/reduced,none,55,56,67
male,group B,high school,free/reduced,none,42,41,45
male,group B,some college,free/reduced,completed,68,69,74
male,group C,associate's degree,standard,completed,100,100,100
female,group B,some college,standard,none,70,61,86
female,group D,high school,free/reduced,completed,65,79,70
female,group C,high school,standard,completed,65,68,66
male,group C,some college,free/reduced,completed,64,64,58
male,group D,high school,standard,completed,82,88,86
male,group E,bachelor's degree,free/reduced,none,55,59,64
female,group B,bachelor's degree,standard,none,64,63,67
female,group A,some college,standard,none,77,77,71
female,group D,associate's degree,free/reduced,completed,52,47,53
female,group C,high school,free/reduced,completed,69,77,69
female,group E,bachelor's degree,standard,completed,88,86,91
female,group D,some college,standard,completed,96,90,84
male,group B,bachelor's degree,free/reduced,none,59,62,65
male,group C,master's degree,standard,none,91,100,97
male,group C,high school,free/reduced,completed,81,83,86
male,group D,some college,free/reduced,completed,51,48,52
female,group C,high school,standard,none,52,57,39
female,group C,high school,standard,completed,71,88,72
female,group D,some college,free/reduced,completed,81,71,90
male,group C,bachelor's degree,free/reduced,none,59,64,54
female,group A,high school,free/reduced,none,51,55,37
female,group D,bachelor's degree,free/reduced,none,84,95,72
female,group C,master's degree,free/reduced,none,65,75,68
female,group A,master's degree,standard,completed,41,41,45
male,group D,bachelor's degree,standard,completed,80,69,88
female,group B,some high school,free/reduced,none,68,77,69
female,group C,associate's degree,standard,completed,79,74,68
female,group B,associate's degree,standard,completed,82,77,77
female,group B,high school,standard,completed,74,86,82
male,group C,master's degree,free/reduced,none,41,35,43
female,group D,high school,standard,none,65,78,71
female,group B,bachelor's degree,standard,none,56,61,61
male,group A,some college,free/reduced,none,47,51,46
female,group D,bachelor's degree,standard,completed,57,61,56
male,group D,high school,standard,completed,82,71,98
male,group D,master's degree,free/reduced,none,62,50,66
male,group E,some high school,standard,none,64,68,64
female,group D,bachelor's degree,free/reduced,none,51,57,55
female,group E,associate's degree,free/reduced,none,60,63,63
female,group E,high school,free/reduced,completed,82,77,65
male,group B,some college,standard,none,40,43,47
male,group D,associate's degree,standard,completed,81,82,97
male,group E,some college,standard,none,62,57,57
female,group C,bachelor's degree,standard,completed,47,57,60
male,group D,high school,standard,none,41,29,40
female,group B,some college,standard,completed,62,69,65
male,group C,associate's degree,free/reduced,none,64,69,73
male,group E,some college,standard,none,76,86,72
male,group A,master's degree,free/reduced,none,46,40,57
female,group A,some high school,standard,completed,91,94,82
female,group D,some high school,standard,none,92,100,86
male,group C,high school,standard,none,76,84,73
male,group D,high school,free/reduced,none,52,54,58
female,group B,bachelor's degree,free/reduced,completed,82,89,81
male,group D,high school,standard,completed,87,90,76
male,group A,bachelor's degree,free/reduced,none,74,93,73
female,group E,associate's degree,free/reduced,none,51,61,45
female,group A,some high school,free/reduced,none,18,19,25
female,group D,some college,standard,completed,100,100,100
female,group A,bachelor's degree,free/reduced,completed,41,40,43
male,group C,some college,free/reduced,none,60,72,58
female,group B,master's degree,standard,none,100,97,100
female,group C,associate's degree,standard,completed,80,70,80
female,group B,associate's degree,standard,completed,90,100,93
male,group A,some college,standard,completed,53,72,33
female,group B,master's degree,free/reduced,none,34,40,36
male,group C,master's degree,free/reduced,completed,58,60,62
female,group A,master's degree,standard,none,87,94,86
male,group B,master's degree,free/reduced,none,55,52,62
male,group A,associate's degree,free/reduced,none,49,52,55
male,group A,some high school,free/reduced,completed,68,71,80
female,group D,some high school,free/reduced,completed,82,89,84
female,group E,some high school,standard,none,49,38,35
female,group A,some college,standard,none,52,50,35
female,group B,high school,free/reduced,none,49,57,37
female,group A,some college,standard,completed,92,89,93
female,group E,bachelor's degree,free/reduced,completed,69,63,69
male,group E,master's degree,standard,none,100,100,100
male,group B,bachelor's degree,standard,completed,90,92,86
female,group A,associate's degree,standard,none,70,67,65
male,group D,some college,standard,none,89,78,95
male,group B,bachelor's degree,free/reduced,completed,69,77,75
female,group A,associate's degree,free/reduced,none,50,58,49
male,group E,associate's degree,standard,none,81,80,81
male,group E,some college,free/reduced,completed,55,48,59
male,group D,high school,standard,completed,71,73,76
male,group A,master's degree,standard,none,90,86,82
female,group E,some high school,free/reduced,completed,64,58,59
male,group B,master's degree,standard,none,58,60,50
male,group B,some high school,standard,none,64,57,60
male,group B,master's degree,standard,none,86,90,93
female,group D,some high school,free/reduced,none,52,59,58
male,group D,bachelor's degree,free/reduced,none,55,50,47
female,group D,some high school,free/reduced,none,53,44,58
female,group A,master's degree,free/reduced,completed,68,83,70
female,group D,bachelor's degree,free/reduced,completed,60,54,57
female,group B,bachelor's degree,free/reduced,none,36,33,26
male,group D,some college,standard,completed,62,66,62
female,group A,master's degree,standard,none,57,63,63
female,group E,bachelor's degree,free/reduced,none,79,79,63
female,group C,some high school,standard,none,83,88,81
female,group A,bachelor's degree,standard,completed,84,83,100
female,group E,high school,free/reduced,none,53,47,59
male,group C,some high school,free/reduced,completed,53,67,56
female,group C,some high school,standard,none,63,85,58
female,group C,some high school,standard,completed,60,75,55
male,group D,master's degree,standard,completed,100,100,100
male,group B,some college,free/reduced,none,27,43,41
male,group E,some high school,free/reduced,completed,74,79,79
male,group E,bachelor's degree,free/reduced,completed,46,44,40
female,group A,associate's degree,free/reduced,completed,64,70,74
male,group C,master's degree,free/reduced,none,46,47,44
female,group A,high school,standard,completed,58,52,72
male,group A,bachelor's degree,free/reduced,none,43,38,40
male,group C,bachelor's degree,free/reduced,none,87,95,80
male,group A,bachelor's degree,standard,completed,74,61,76
female,group B,high school,standard,completed,64,71,73
male,group E,some college,free/reduced,completed,74,63,83
female,group B,some college,standard,completed,76,61,78
male,group D,high school,standard,completed,86,74,79
female,group B,high school,standard,none,43,61,40
male,group E,bachelor's degree,standard,none,75,75,60
female,group C,high school,standard,completed,87,90,81
male,group B,high school,standard,none,46,59,45
male,group D,high school,standard,none,77,87,81
female,group E,high school,free/reduced,completed,91,82,89
female,group E,some college,free/reduced,completed,65,74,66
female,group A,associate's degree,standard,none,83,86,81
female,group E,some college,standard,completed,86,85,93
female,group A,high school,standard,completed,65,67,59
male,group D,master's degree,standard,none,71,83,79
male,group A,bachelor's degree,standard,completed,52,47,69
male,group E,some college,free/reduced,none,54,59,59
female,group D,high school,free/reduced,completed,69,71,66
male,group D,some high school,free/reduced,completed,76,64,73
male,group B,high school,free/reduced,none,61,56,72
female,group D,master's degree,standard,completed,86,90,78
male,group E,associate's degree,free/reduced,none,44,56,37
male,group C,high school,standard,completed,74,84,66
female,group B,high school,standard,none,71,78,62
female,group D,bachelor's degree,standard,none,98,94,91
female,group C,some high school,free/reduced,none,57,74,65
female,group D,some college,standard,none,63,67,73
female,group A,bachelor's degree,free/reduced,completed,66,60,61
female,group E,master's degree,standard,completed,62,62,64
female,group E,associate's degree,standard,completed,78,88,85
male,group C,master's degree,standard,completed,70,72,72
male,group B,high school,standard,none,44,53,37
female,group D,master's degree,free/reduced,completed,65,75,54
male,group B,some college,free/reduced,none,56,61,65
male,group C,some high school,free/reduced,completed,41,36,46
female,group D,master's degree,free/reduced,completed,64,68,70
female,group D,master's degree,free/reduced,none,83,85,75
female,group A,bachelor's degree,free/reduced,completed,73,90,76
male,group D,master's degree,free/reduced,none,70,59,76
female,group A,some college,free/reduced,none,40,41,44
female,group E,bachelor's degree,free/reduced,completed,73,70,68
female,group D,master's degree,free/reduced,none,63,67,72
female,group D,high school,free/reduced,none,68,51,57
male,group B,some high school,free/reduced,none,67,78,75
male,group D,high school,free/reduced,none,40,42,50
male,group B,high school,free/reduced,none,60,47,73
male,group C,master's degree,free/reduced,completed,54,53,52
male,group D,bachelor's degree,free/reduced,completed,65,72,58
male,group D,master's degree,standard,none,57,46,64
female,group B,some high school,standard,none,90,92,86
male,group B,associate's degree,free/reduced,none,48,41,49
female,group D,high school,free/reduced,none,47,45,45
male,group C,high school,free/reduced,none,62,64,55
female,group C,associate's degree,free/reduced,none,44,48,48
female,group D,bachelor's degree,standard,none,64,62,54
male,group E,some high school,standard,completed,63,67,69
male,group B,bachelor's degree,free/reduced,completed,87,95,80
male,group E,some college,standard,completed,87,87,74
female,group A,high school,standard,none,70,83,70
male,group B,master's degree,standard,none,65,78,69
male,group C,high school,standard,completed,90,88,95
female,group E,associate's degree,free/reduced,none,67,63,74
female,group A,some college,standard,none,78,67,60
female,group A,master's degree,standard,none,70,71,63
female,group B,associate's degree,free/reduced,completed,40,39,42
male,group C,high school,standard,completed,74,82,87
female,group A,master's degree,free/reduced,none,53,42,60
male,group C,master's degree,standard,none,80,80,96
female,group E,master's degree,free/reduced,none,76,85,72
female,group B,some college,standard,none,61,57,64
female,group D,master's degree,standard,none,78,73,70
female,group D,master's degree,standard,completed,100,92,99
female,group B,high school,standard,completed,65,88,61
male,group D,some high school,standard,completed,100,97,97
male,group D,some college,standard,completed,63,54,61
male,group B,associate's degree,standard,none,71,66,72
male,group B,some college,standard,none,70,66,72
male,group D,some college,standard,completed,76,76,81
female,group A,bachelor's degree,free/reduced,none,48,57,50
male,group C,bachelor's degree,free/reduced,completed,57,56,55
male,group E,some college,standard,none,60,55,57
female,group B,high school,standard,none,75,66,74
male,group C,some college,free/reduced,completed,70,73,68
female,group B,bachelor's degree,free/reduced,completed,99,100,100
male,group E,associate's degree,standard,completed,96,100,100
male,group E,some high school,free/reduced,completed,58,61,69
female,group E,high school,standard,completed,80,82,75
female,group E,associate's degree,standard,completed,90,84,95
male,group D,some high school,free/reduced,none,61,61,51
female,group B,bachelor's degree,free/reduced,none,59,58,63
male,group E,master's degree,standard,completed,76,75,86
female,group D,some high school,standard,none,84,78,83
male,group E,bachelor's degree,free/reduced,completed,53,59,62
male,group B,high school,standard,completed,71,71,63
male,group E,master's degree,standard,none,78,78,71
female,group D,associate's degree,standard,completed,80,68,80
female,group A,high school,standard,completed,79,85,88
male,group B,associate's degree,free/reduced,completed,60,66,58
female,group D,some college,free/reduced,completed,80,75,77
female,group E,master's degree,free/reduced,completed,98,100,91
female,group C,bachelor's degree,standard,completed,82,73,84
male,group E,high school,free/reduced,none,58,59,69
male,group B,high school,free/reduced,none,72,72,78
male,group A,master's degree,standard,completed,67,59,74
female,group A,some high school,standard,completed,64,68,64
female,group A,some college,free/reduced,none,61,77,57
male,group B,associate's degree,standard,none,32,34,38
male,group B,some college,standard,none,53,51,54
female,group D,associate's degree,standard,completed,70,76,70
male,group E,bachelor's degree,free/reduced,none,40,43,48
male,group B,some high school,free/reduced,completed,50,52,49
male,group A,some college,standard,none,64,63,58
male,group E,associate's degree,free/reduced,completed,41,54,49
male,group D,master's degree,free/reduced,completed,59,65,61
female,group C,master's degree,standard,none,62,60,55
male,group C,associate's degree,free/reduced,completed,66,67,58
male,group D,bachelor's degree,standard,completed,93,89,95
male,group B,high school,free/reduced,completed,68,65,88
male,group B,master's degree,free/reduced,none,61,58,59
female,group C,master's degree,free/reduced,completed,67,60,65
female,group E,bachelor's degree,standard,completed,79,87,92
male,group C,bachelor's degree,free/reduced,none,45,45,46
female,group D,high school,standard,none,69,75,58
male,group D,master's degree,free/reduced,none,65,62,54
male,group D,some high school,free/reduced,completed,45,46,56
female,group C,some college,standard,completed,88,85,95
female,group D,bachelor's degree,standard,none,87,94,94
female,group A,associate's degree,free/reduced,completed,56,56,57
female,group B,bachelor's degree,free/reduced,completed,62,58,57
male,group B,bachelor's degree,standard,none,57,46,57
male,group A,associate's degree,standard,none,81,85,83
male,group B,high school,standard,none,55,51,49
female,group D,associate's degree,free/reduced,none,57,59,63
female,group D,high school,free/reduced,completed,53,51,44
female,group E,associate's degree,standard,completed,76,86,75
male,group B,some high school,free/reduced,completed,39,45,38
female,group C,some high school,free/reduced,completed,85,91,81
male,group A,bachelor's degree,free/reduced,completed,51,48,34
female,group A,associate's degree,free/reduced,none,61,67,66
male,group D,some high school,standard,completed,72,88,67
female,group B,bachelor's degree,free/reduced,completed,54,49,66
female,group A,master's degree,standard,none,57,61,55
female,group D,associate's degree,free/reduced,none,75,63,71
male,group E,master's degree,standard,none,63,76,64
male,group E,master's degree,standard,none,75,73,84
male,group D,high school,free/reduced,none,48,57,45
female,group E,some high school,free/reduced,none,51,39,60
male,group B,high school,free/reduced,completed,73,89,85
female,group A,high school,standard,completed,89,89,98
female,group B,high school,free/reduced,none,58,64,72
male,group E,some high school,free/reduced,completed,44,47,56
female,group D,bachelor's degree,standard,completed,100,100,100
female,group C,associate's degree,free/reduced,none,48,63,61
male,group D,associate's degree,standard,none,47,36,50
female,group E,some high school,free/reduced,completed,100,100,100
male,group E,bachelor's degree,standard,none,64,74,47
female,group A,high school,free/reduced,none,39,40,29
male,group A,bachelor's degree,standard,none,60,61,58
male,group E,high school,standard,none,76,77,74
female,group D,high school,standard,none,73,66,73
male,group A,associate's degree,free/reduced,none,48,50,41
female,group B,some high school,free/reduced,completed,93,99,81
male,group D,high school,standard,completed,68,70,68
male,group E,some high school,free/reduced,completed,48,48,47
male,group C,bachelor's degree,free/reduced,none,75,73,69
male,group C,high school,standard,completed,95,95,90
male,group A,bachelor's degree,free/reduced,completed,53,65,47
male,group A,high school,standard,none,49,35,47
female,group B,bachelor's degree,standard,none,86,88,80
male,group E,bachelor's degree,standard,none,40,39,51
male,group A,bachelor's degree,standard,none,52,66,55
female,group E,master's degree,standard,completed,90,92,83
female,group E,bachelor's degree,standard,completed,75,89,73
male,group C,associate's degree,free/reduced,none,57,42,48
male,group B,bachelor's degree,standard,completed,81,86,90
female,group D,associate's degree,standard,none,68,72,80
female,group C,master's degree,free/reduced,completed,46,59,57
male,group A,some college,free/reduced,none,80,69,71
female,group E,master's degree,free/reduced,completed,85,86,86
female,group D,associate's degree,free/reduced,completed,69,71,66
male,group C,master's degree,free/reduced,none,61,59,67
female,group B,master's degree,free/reduced,completed,100,100,94
female,group D,bachelor's degree,standard,completed,71,71,67
female,group D,some high school,free/reduced,completed,62,80,59
male,group E,some college,free/reduced,none,66,76,68
female,group C,some college,free/reduced,none,83,92,89
female,group B,high school,standard,none,94,100,93
female,group E,master's degree,free/reduced,none,57,50,63
male,group C,master's degree,standard,none,75,74,83
male,group A,some high school,free/reduced,completed,45,51,44
female,group A,high school,free/reduced,completed,61,68,52
female,group B,associate's degree,standard,completed,63,75,55
male,group C,high school,free/reduced,none,45,44,51
male,group E,bachelor's degree,free/reduced,none,86,81,83
male,group E,master's degree,standard,completed,64,72,51
male,group D,high school,standard,completed,68,63,73
male,group A,some high school,free/reduced,none,66,75,68
female,group E,high school,standard,none,90,100,80
male,group D,high school,standard,none,78,83,88
male,group D,associate's degree,free/reduced,completed,100,100,100
male,group C,associate's degree,free/reduced,none,59,62,61
male,group D,some high school,standard,completed,79,86,70
male,group A,bachelor's degree,free/reduced,completed,70,72,59
male,group A,some college,free/reduced,completed,87,100,86
male,group D,master's degree,standard,completed,83,77,70
female,group E,some college,free/reduced,none,59,53,63
male,group B,associate's degree,standard,none,56,50,46
female,group B,some college,standard,none,74,71,76
male,group A,master's degree,standard,none,92,76,90
male,group A,master's degree,free/reduced,completed,59,56,66
female,group D,master's degree,free/reduced,none,68,65,62
female,group B,master's degree,standard,completed,79,82,82
female,group A,some college,standard,none,83,89,73
male,group C,master's degree,standard,none,58,51,66
male,group C,some high school,standard,none,100,100,100
female,group D,bachelor's degree,standard,none,51,68,56
male,group A,some high school,free/reduced,completed,60,60,50
female,group C,associate's degree,free/reduced,completed,80,94,85
female,group C,some college,standard,completed,80,84,83
male,group C,bachelor's degree,standard,completed,88,100,92
female,group E,bachelor's degree,standard,completed,68,79,72
male,group B,master's degree,standard,completed,74,64,74
female,group E,some high school,free/reduced,completed,66,68,77
male,group E,high school,free/reduced,none,84,94,84
female,group A,high school,standard,none,81,83,76
female,group C,associate's degree,standard,completed,87,89,88
female,group E,high school,free/reduced,none,51,63,44
female,group E,some high school,standard,none,85,81,82
female,group A,associate's degree,standard,none,74,76,73
male,group B,some college,standard,none,91,96,89
female,group D,high school,standard,completed,100,100,100
female,group A,bachelor's degree,standard,completed,71,73,87
female,group C,master's degree,free/reduced,none,54,63,60
male,group C,some college,standard,completed,63,68,72
female,group B,master's degree,free/reduced,completed,63,59,60
male,group C,master's degree,standard,completed,70,63,66
female,group A,high school,standard,completed,81,77,79
female,group E,some high school,free/reduced,none,58,60,66
male,group E,bachelor's degree,standard,none,65,66,49
female,group D,some college,free/reduced,completed,81,77,74
female,group A,some college,free/reduced,none,46,44,48
female,group C,master's degree,standard,completed,82,72,81
male,group E,master's degree,free/reduced,completed,59,65,76
male,group A,some high school,standard,none,81,83,86
female,group E,some college,free/reduced,none,81,73,77
male,group A,high school,free/reduced,completed,61,63,49
female,group E,high school,standard,none,77,90,75
female,group B,some college,free/reduced,completed,68,64,59
male,group D,bachelor's degree,free/reduced,none,49,61,53
female,group A,master's degree,free/reduced,completed,69,69,71
female,group E,associate's degree,standard,none,75,78,78
female,group B,master's degree,free/reduced,completed,72,74,89
male,group C,master's degree,standard,completed,73,86,66
male,group A,master's degree,free/reduced,completed,67,70,66
female,group E,associate's degree,standard,completed,58,51,50
male,group B,associate's degree,standard,none,65,57,65
