Name,Age,Overall,Potential,Club,Nationality,Position,Wage,Value,SprintSpeed,Acceleration,Skill Moves,Contract Valid Until
Player_346,17,74,81,Barcelona,Spain,,55063,715819,59,74,5,2024
Player_347,40,73,85,Manchester City,Germany,RW,5020,788140,73,82,3,2019
Player_348,36,77,90,Liverpool,Spain,,48889,2737784,33,65,2,2022
Player_349,27,63,75,Barcelona,Portugal,LB,30052,4567904,99,86,3,2021
Player_350,33,67,69,Barcelona,Argentina,CB,44168,2473408,65,79,5,2025
Player_351,24,77,86,Arsenal,Germany,GK,9196,800052,87,99,5,2025
Player_352,20,84,86,Manchester City,Brazil,LB,66756,8878548,64,58,1,2020
Player_353,22,81,88,Liverpool,Croatia,GK,99314,8342376,76,82,4,2022
Player_354,24,72,79,Liverpool,Netherlands,CM,12214,1367968,92,54,1,2022
Player_355,36,67,68,Atletico Madrid,Argentina,RB,5030,734380,87,45,5,2023
Player_356,19,76,83,PSG,Germany,ST,1196,118404,66,39,2,2022
Player_357,32,61,71,Bayern Munich,Brazil,CM,51357,7857621,67,78,2,2025
Player_358,41,63,75,PSG,Brazil,GK,46709,3643302,85,72,1,2024
Player_359,19,87,99,Liverpool,Netherlands,LB,39559,2769130,99,62,5,2020
Player_360,41,76,76,Arsenal,Germany,CDM,13194,1939518,72,43,2,2020
Player_361,34,68,73,Chelsea,Croatia,GK,24789,1462551,99,59,5,2021
Player_362,30,80,87,Liverpool,Argentina,LB,45128,541536,66,70,2,2021
Player_363,34,84,86,Real Madrid,Romania,CAM,34335,3982860,84,81,5,2021
Player_364,18,67,74,Barcelona,Italy,RW,220256,26871232,86,69,3,2025
Player_365,38,67,78,Juventus,France,CB,7334,755402,63,73,5,2025
Player_366,19,66,66,Liverpool,Brazil,CB,59395,7543165,58,64,5,2025
Player_367,32,81,91,Real Madrid,Belgium,LW,25902,2331180,87,96,1,2025
Player_368,25,81,91,Real Madrid,Germany,LW,27948,3297864,62,54,3,2025
Player_369,20,85,93,Bayern Munich,Italy,CM,63221,3793260,56,59,4,2025
Player_370,17,82,94,Manchester City,Italy,RW,58953,9196668,59,62,1,2024
Player_371,20,55,65,Liverpool,Italy,ST,236969,42417451,61,78,4,2025
Player_372,17,74,86,Manchester City,Portugal,CB,6870,302280,82,54,2,2022
Player_373,30,61,69,Chelsea,Argentina,LW,5496,302280,77,72,4,2022
Player_374,37,66,70,Arsenal,Brazil,RW,64429,10501927,80,72,5,2023
Player_375,32,73,82,Juventus,Germany,RB,43183,3368274,76,59,4,2024
Player_376,36,80,83,Arsenal,Italy,ST,16021,1634142,61,74,1,2021
Player_377,40,63,77,Real Madrid,France,GK,4137,302001,80,54,1,2019
Player_378,24,48,58,Barcelona,France,RW,4477,778998,87,53,4,2025
Player_379,23,73,78,Barcelona,England,CDM,112305,6513690,78,71,1,2023
Player_380,19,98,99,Manchester City,Italy,LW,10651,1682858,76,45,1,2019
Player_381,33,69,75,Arsenal,France,GK,19531,1621073,58,37,4,2022
Player_382,17,72,76,Real Madrid,Belgium,GK,12851,179914,73,77,3,2023
Player_383,32,89,99,Bayern Munich,Romania,LW,21924,2389716,57,85,3,2023
Player_384,28,77,89,Atletico Madrid,Romania,CAM,3597,284163,69,62,2,2020
Player_385,43,74,83,Arsenal,Brazil,CAM,36600,3623400,45,59,1,2022
Player_386,35,76,84,Manchester City,Argentina,CB,3500,45500,45,85,4,2022
Player_387,38,74,76,Juventus,Argentina,,80561,10875735,67,52,1,2024
Player_388,39,60,74,Manchester City,Belgium,LW,13309,638832,61,49,5,2023
Player_389,38,58,64,Real Madrid,Germany,CB,38827,6678244,71,80,1,2025
Player_390,30,90,99,Liverpool,France,CB,106046,14634348,67,70,1,2022
Player_391,22,73,82,Bayern Munich,Spain,CM,52616,1736328,70,85,3,2023
Player_392,22,73,83,Real Madrid,France,ST,38066,2512356,79,37,4,2024
Player_393,29,71,75,Bayern Munich,Netherlands,LB,19602,2136618,63,48,1,2025
Player_394,35,79,92,PSG,England,CB,20248,1599592,66,70,3,2024
Player_395,38,97,99,PSG,Belgium,LB,55355,2767750,91,76,2,2020
Player_396,24,77,91,Barcelona,Belgium,CDM,256974,49082034,70,82,3,2025
Player_397,43,66,67,Bayern Munich,Belgium,ST,54211,9920613,67,72,3,2023
Player_398,43,70,73,Arsenal,Spain,ST,40797,2814993,71,72,3,2022
Player_399,18,82,83,Juventus,Netherlands,RW,65587,7673679,67,64,1,2022
Player_400,37,66,79,Atletico Madrid,England,CM,31293,6164721,59,93,1,2023
Player_401,17,80,92,Manchester City,Italy,CAM,3101,204666,55,53,2,2023
Player_402,44,48,60,PSG,Italy,ST,41310,1652400,58,75,5,2023
Player_403,31,69,80,Manchester City,Germany,RW,158060,14699580,83,55,5,2021
Player_404,17,78,84,Manchester City,Belgium,CDM,9636,1551396,60,78,5,2025
Player_405,21,84,85,Juventus,England,LW,58559,2635155,67,54,2,2022
Player_406,44,63,75,Real Madrid,Germany,RW,11215,1872905,80,81,5,2025
Player_407,32,56,69,Manchester City,Belgium,ST,38374,6178214,65,71,5,2024
Player_408,35,69,79,Bayern Munich,Belgium,CAM,5083,594711,79,96,3,2022
Player_409,20,60,60,Juventus,Brazil,CB,29925,3441375,46,65,1,2021
Player_410,19,70,78,PSG,Belgium,CB,70562,11783854,68,76,1,2023
Player_411,33,71,71,Liverpool,Croatia,RW,21352,2028440,71,58,3,2020
Player_412,33,58,65,Manchester City,France,RB,54668,7872192,70,65,3,2023
Player_413,28,80,94,Barcelona,Spain,CAM,79347,13647684,45,71,3,2023
Player_414,44,70,71,Juventus,Romania,LW,130986,25149312,88,47,1,2021
Player_415,30,82,93,Real Madrid,Spain,RB,13370,307510,57,48,5,2025
Player_416,37,53,60,Chelsea,Germany,CAM,25484,3287436,75,78,3,2022
Player_417,22,61,73,PSG,Romania,CM,8268,1215396,70,67,2,2023
Player_418,19,77,79,PSG,France,LW,244532,21763348,85,61,3,2022
Player_419,44,64,69,Chelsea,Argentina,CAM,130865,20022345,99,58,4,2019
Player_420,25,70,72,Bayern Munich,Spain,CAM,38821,7414811,50,59,3,2024
Player_421,21,72,85,Liverpool,Argentina,CB,92268,10610820,60,71,1,2025
Player_422,40,73,79,PSG,Netherlands,CM,36798,2907042,72,76,3,2022
Player_423,33,65,74,PSG,France,CAM,48853,2589209,53,38,4,2020
Player_424,30,73,81,Real Madrid,Argentina,CM,4667,382694,81,91,2,2024
Player_425,37,64,65,PSG,Brazil,CDM,70380,3800520,82,90,5,2020
Player_426,19,78,92,Juventus,England,CM,6831,1318383,78,35,3,2023
Player_427,44,70,81,Bayern Munich,Italy,LB,87454,10144664,73,86,4,2024
Player_428,17,73,84,Liverpool,Croatia,LW,76169,7083717,90,85,4,2022
Player_429,36,97,99,Barcelona,Belgium,CB,61677,5612607,52,70,2,2024
Player_430,37,60,73,Liverpool,Italy,CB,1841,213556,70,50,1,2023
Player_431,39,85,89,Bayern Munich,Germany,CB,18057,3503058,58,85,3,2021
Player_432,17,45,57,Arsenal,Brazil,CB,15266,457980,83,66,4,2025
Player_433,19,51,56,Juventus,Spain,CAM,22325,4174775,42,78,2,2020
Player_434,34,59,62,Arsenal,Germany,CB,4586,779620,69,99,5,2023
Player_435,41,60,63,Bayern Munich,Croatia,CM,138197,2211152,75,73,4,2021
Player_436,26,74,77,Real Madrid,Germany,LB,40349,3187571,55,56,2,2024
Player_437,38,74,75,Barcelona,Croatia,RW,18229,2479144,60,64,1,2024
Player_438,42,69,72,Liverpool,Italy,GK,25290,3844080,70,58,1,2023
Player_439,19,70,80,Manchester City,France,ST,29638,5008822,84,76,4,2022
Player_440,24,77,77,Atletico Madrid,Romania,RW,45888,7204416,54,57,4,2024
Player_441,30,80,91,Liverpool,Spain,RW,36250,5510000,57,62,3,2022
Player_442,40,58,63,Real Madrid,Germany,CM,125907,23292795,86,50,2,2022
Player_443,34,68,68,Barcelona,Romania,CB,34354,5427932,65,68,4,2025
Player_444,31,71,80,Atletico Madrid,Belgium,CAM,242413,43391927,58,72,3,2022
Player_445,38,76,81,Juventus,Romania,CM,95333,15539279,80,29,3,2019
Player_446,39,64,64,Bayern Munich,Spain,CAM,11691,1508139,62,73,4,2025
Player_447,18,71,76,Bayern Munich,England,GK,133389,18274293,85,69,1,2021
Player_448,43,72,81,Juventus,France,CDM,6185,933935,60,58,2,2021
Player_449,26,64,71,Atletico Madrid,Netherlands,ST,85036,5612376,67,99,2,2024
Player_450,18,64,74,Arsenal,Spain,CDM,23952,4167648,84,84,1,2024
Player_451,42,72,73,Barcelona,Romania,CM,105176,7046792,66,53,4,2022
Player_452,33,70,71,Juventus,Argentina,CB,101269,3038070,81,82,2,2025
Player_453,24,77,90,Atletico Madrid,Germany,,81975,7459725,69,88,4,2025
Player_454,17,61,75,PSG,Argentina,RW,78039,6087042,99,71,4,2019
Player_455,25,68,80,Liverpool,France,RB,18169,2543660,93,75,3,2022
Player_456,27,69,80,Real Madrid,Brazil,LB,4219,405024,50,75,1,2019
Player_457,38,80,83,Juventus,Argentina,LW,25790,4487460,77,38,4,2022
Player_458,32,62,72,Real Madrid,Germany,RB,9529,552682,57,67,5,2020
Player_459,23,74,76,Arsenal,Belgium,CB,59364,9260784,72,66,1,2020
Player_460,26,74,77,Arsenal,Croatia,CM,21240,2633760,71,91,2,2023
Player_461,39,88,99,PSG,Belgium,RW,185679,18196542,54,75,3,2022
Player_462,42,61,72,Bayern Munich,Germany,CM,51217,4814398,85,65,2,2025
Player_463,19,65,71,Juventus,Italy,CB,86433,11841321,73,68,2,2024
Player_464,34,62,74,Barcelona,France,CDM,7108,1059092,65,85,1,2021
Player_465,41,55,65,Bayern Munich,Italy,ST,99030,19607940,63,67,2,2023
Player_466,40,89,89,Atletico Madrid,Croatia,RB,128040,22791120,72,59,4,2024
Player_467,29,59,64,Bayern Munich,Germany,CAM,33380,5674600,76,65,2,2020
Player_468,44,63,77,Barcelona,Croatia,RW,46602,8714574,68,84,3,2022
Player_469,42,85,99,Liverpool,England,ST,72368,9118368,27,77,3,2023
Player_470,23,54,56,Arsenal,Germany,ST,9608,1306688,70,70,5,2022
Player_471,41,79,89,Liverpool,Netherlands,RW,34914,2793120,48,72,3,2020
Player_472,20,57,66,Juventus,Netherlands,GK,25429,2415755,66,61,2,2023
Player_473,29,84,90,Bayern Munich,Italy,ST,7913,332346,48,67,3,2020
Player_474,36,50,59,Juventus,Italy,CDM,22906,2061540,48,60,1,2019
Player_475,17,54,55,Liverpool,France,GK,3530,568330,88,65,3,2020
Player_476,24,66,79,Arsenal,Belgium,LB,1307,91490,65,90,4,2025
Player_477,30,81,82,Manchester City,Brazil,CDM,7260,508200,64,53,1,2025
Player_478,32,71,83,PSG,England,CDM,164997,17654679,77,59,5,2022
Player_479,30,68,71,Juventus,Croatia,CM,39873,1475301,64,51,4,2021
Player_480,28,85,85,Juventus,Portugal,CM,168808,32917560,99,47,2,2020
Player_481,35,93,95,Manchester City,Belgium,GK,28325,1472900,65,67,2,2024
Player_482,39,78,90,Atletico Madrid,Germany,LB,18684,3325752,75,60,2,2025
Player_483,31,65,73,Atletico Madrid,Brazil,LB,35275,6208400,84,96,4,2021
Player_484,44,67,73,Liverpool,France,ST,28947,2749965,94,65,4,2019
Player_485,18,59,73,Juventus,Spain,CAM,5583,1038438,58,89,4,2023
Player_486,18,73,79,Arsenal,Romania,CB,51197,1331122,63,84,1,2023
Player_487,39,55,67,Real Madrid,Belgium,LB,12169,1302083,89,66,1,2025
Player_488,38,77,89,Liverpool,Belgium,GK,48325,5170775,82,99,2,2021
Player_489,35,92,99,Liverpool,Brazil,CB,52519,3886406,86,74,3,2025
Player_490,41,79,82,PSG,Romania,RW,8245,684335,49,92,2,2023
Player_491,42,67,68,Juventus,Germany,RB,3165,297510,93,90,5,2020
Player_492,38,77,91,Atletico Madrid,Belgium,CAM,75879,1062306,58,76,1,2021
Player_493,42,88,99,Atletico Madrid,Brazil,CAM,30790,338690,72,81,4,2022
Player_494,42,87,90,Bayern Munich,Argentina,LW,2996,92876,67,79,1,2020
Player_495,38,61,66,Chelsea,Italy,CM,263596,31895116,56,52,4,2020
Player_496,33,77,87,Chelsea,Netherlands,LB,2975,196350,48,70,5,2020
Player_497,36,70,80,Chelsea,Romania,CM,59377,4453275,43,86,5,2022
Player_498,26,80,82,PSG,Italy,CDM,205764,17078412,71,92,1,2019
Player_499,22,75,75,Arsenal,Germany,CM,13667,1462369,47,59,4,2024
Player_500,31,48,61,Chelsea,Argentina,ST,7672,1173816,52,77,5,2025
